,fips,poor-fair_health,obesity,below_18,over_65,smoking,drinking,Ethnic_Minority,AA,Asian,Hispanic,income_inequality,child_poverty,uninsured,household_income,unemployment,% labor_force,population,shape area,rural-urban_code,urban-influence_code,population density,rural,total cases,total deaths,% total cases,% total deaths,av_cases,av_deaths,av_days_spreading,av_r_SIR1,av_r_SIR2,av_r_ratio14,av_r_ratio8
2315,42065.0,0.1512674434,0.318,0.2116245092,0.2045475299,0.17350569600000001,0.19192249320000002,0.0170304082,0.0048169117,0.0031275683000000004,0.0090859282,4.2152083964,0.205,0.1331561472,46751.0,4.7,0.4740817501439263,43425.0,3000997800.2304697,7.0,9.0,14.47018721462077,0.6146017699,420.0,0.0,0.009588165464341157,0.0,4.784313725490196,0.0,25.0,1.022166839640242,0.007852211458373998,1.8802521008403368,1.4262371615312792
2316,42067.0,0.1499533834,0.32299999999999995,0.2231785918,0.19792771480000002,0.1642657693,0.1944589196,0.0467895896,0.0061597455,0.0048543689,0.0357754752,3.8124186574000003,0.187,0.1539514843,54342.0,4.4,0.509469773452328,24763.0,1766163385.99219,6.0,7.0,14.020786636389655,0.8225361259999999,5278.0,110.0,0.2153055396916048,0.004487231785918251,60.43076923076923,0.8,32.0,1.1709935572663928,0.19484309660439048,5.114220823651039,2.338398546859181
2317,42069.0,0.1421437045,0.27899999999999997,0.2034057534,0.19601349399999998,0.16333502789999998,0.21407872320000002,0.1321923886,0.0274149392,0.029773060499999997,0.0750043889,5.001505555,0.204,0.112174414,52872.0,4.9,0.5018075679388002,209674.0,2144264287.05078,2.0,2.0,97.78365533867353,0.1630548833,71272.0,6924.0,0.3381650305322142,0.032852377811834255,695.887323943662,62.29577464788732,35.0,2.776805704795269,26.743093163823215,5.137632365126248,2.5961939948768573
2318,42071.0,0.1300522101,0.278,0.23785832829999998,0.17495574719999998,0.1440623334,0.2148578602,0.1654678644,0.0352217615,0.0247779069,0.105468196,3.8380713489,0.13699999999999998,0.22131305290000003,66270.0,3.4,0.5227056167586546,545724.0,4352593696.105471,2.0,2.0,125.37903560543506,0.2125711095,140254.0,13100.0,0.2583408085790648,0.024129540636172574,1342.3857142857144,125.5,34.5,3.3173482011311877,54.40197761758669,10.486699997462376,3.6996079032148446
2319,42073.0,0.1442206618,0.33899999999999997,0.2001860593,0.21574842940000002,0.1793154117,0.1903960679,0.0590221548,0.0401865187,0.0047318793,0.014103756799999999,4.7766544592,0.198,0.10815734330000001,48418.0,5.1,0.476833660772757,85512.0,1650447824.19141,4.0,3.0,51.81139248791107,0.4031808403,4517.0,438.0,0.05187839529568503,0.0050304930572304726,52.71875,5.09375,31.5,1.1454248065598673,0.1458668009566305,2.801370171256721,1.9268115387085618
2320,42075.0,0.1319518755,0.292,0.2288449704,0.19110723129999999,0.1478363824,0.20048559999999999,0.1673798245,0.0196845886,0.015162356699999999,0.1325328792,3.7452647005,0.15,0.1346819414,61087.0,3.9,0.5121338853116868,141793.0,1619098933.79297,3.0,2.0,87.57525376650683,0.2655576186,47650.0,1113.0,0.3409562516994147,0.0079639938749517,479.34285714285716,8.885714285714286,34.5,2.410300275456154,15.35481489690129,7.9431696466085135,3.0944346097345083
2321,42077.0,0.1589820463,0.298,0.2273625216,0.16379531449999998,0.1501862544,0.19909813010000002,0.3405949347,0.0575862088,0.0374167108,0.2455920151,4.4927986778,0.182,0.12404095500000001,62139.0,4.5,0.5236354577897638,369318.0,1566697336.3671901,2.0,2.0,235.73027886570824,0.0792567604,198969.0,8146.0,0.5428983830567485,0.022226830452885996,1968.1351351351352,64.91891891891892,36.5,3.86477876119,83.67239708377706,29.57903789166967,6.472633910795518
2322,42079.0,0.1668709392,0.289,0.195854328,0.196314398,0.17147735260000002,0.2011317964,0.1707899654,0.039064986499999996,0.0139218448,0.1178031341,4.8456271864,0.247,0.11181912899999999,53469.0,5.7,0.4968070393205153,317417.0,4146957014.66016,2.0,2.0,76.5421485869952,0.19984855940000001,149420.0,6408.0,0.4708470015094078,0.02019266219831539,1496.8513513513512,57.648648648648646,36.5,3.5427555741016663,61.518346914938334,26.27983968731444,5.3947181388230145
2323,42081.0,0.1555032855,0.37,0.205268752,0.1877794468,0.170797598,0.2070905339,0.071696489,0.045054066600000005,0.006500294300000001,0.0201421281,4.206322426,0.18100000000000002,0.10381317030000001,53820.0,4.8,0.5023786617710659,113299.0,5720492696.62891,3.0,2.0,19.805811493609138,0.3627649404,6777.0,451.0,0.05953039765989406,0.003961665832169429,69.71875,3.359375,31.5,1.3045453996094774,0.518549132094401,2.905859817033844,1.9083700442598017
2324,42083.0,0.1599438587,0.331,0.19772562300000002,0.1882893782,0.17858388390000002,0.2086460036,0.0521654972,0.0239535446,0.0064601984,0.0217517542,4.2037416838,0.249,0.1074181811,46529.0,5.3,0.4272,40625.0,4591551158.39062,7.0,8.0,8.847772484416666,0.6353739931,510.0,35.0,0.012339704814904429,0.0008468424872973627,5.491803278688525,0.3442622950819672,30.0,1.0068492905958504,0.005403181027052847,2.0299056135121707,1.5243541977148536
2325,42085.0,0.1436953038,0.289,0.19695749440000002,0.2104250559,0.1665515345,0.1934536073,0.0801431767,0.0578434004,0.0072304251,0.0150693512,4.175817142900001,0.18899999999999997,0.13192372819999998,48788.0,4.9,0.4507329287907589,109424.0,3135412073.36719,2.0,2.0,34.89939996387368,0.4448893157,5162.0,157.0,0.0461923937360179,0.0014049217002237136,54.23880597014925,1.208955223880597,33.0,1.1843671069278656,0.2364326837761534,2.9881437200888064,1.848043375791028
2326,42087.0,0.15060456460000002,0.36200000000000004,0.224864189,0.21201603859999998,0.16727505939999998,0.1818282772,0.0301371045,0.0075019402,0.0058635854,0.0167715789,3.7954388708,0.215,0.1524671595,47648.0,4.7,0.45680350253587065,46138.0,1865703320.14844,4.0,5.0,24.729548102175833,0.5046698942,2732.0,24.0,0.05889454169181685,0.0005173751832370441,31.8,0.16666666666666666,29.5,1.1021120314189734,0.07335849584362916,2.3015938053454628,1.7003086183583502
